,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM,Year,Month
978,-10.1193,-10.2727,-6.1953,-8.2428,-8.0962,-3.248,-4.9183,-5.7792,-5.5278,-4.6832,-11.489,-13.2867,-9.0551,-9.9852,-6.0117,-10.6605,-4.3263,-4.6024,-4.2084,-3.4043,-8.2508,-12.0571,-4.4794,-7.5018,-7.3743,-7.0818,-6.9838,-1.8455,-6.6331,-2.5151,-11.4452,-4.6379,-5.5997,-9.5211,-6.6846,-11.0186,-3.5411,-0.0683,-4.4196,1.1506,-3.8151,-9.6715,-8.2789,-5.4319,-4.6111,-3.9096,-2.6025,3.0615,-10.6616,-0.6057,-5.954,-7.9665,-4.8,-7.2371,-8.0466,-7.246,-3.0695,-5.3255,-6.6698,-4.698,-6.085,-4.2214,-7.8722,-6.1082,-5.4893,-3.8111,-4.8263,-6.6498,-1.5204,0.4678,-5.8803,-8.9782,-9.3339,-8.2375,-3.3625,0.1304,-4.5968,-5.8913,4.0421,-11.6542,-7.7713,-9.3961,-3.8102,-2.9159,-4.7387,-5.6672,-7.2439,-0.4894,-6.6248,-4.333,-10.1289,-6.3818,-4.4164,-8.0485,-2.65,-6.7941,-1.836,-3.3269,-2.0294,-8.383,2008,1
979,-4.7436,-3.7751,-4.919,-3.7854,-5.3414,-4.6735,-0.9421,-2.2816,-3.8425,-1.2827,-7.5068,-6.6038,-4.7405,-2.9495,-3.0391,-5.6157,-2.2355,-5.0899,-5.639,-7.4572,-6.5082,-3.3759,-2.6302,-1.6743,-2.2556,4.7168,-1.792,-5.2147,-0.3793,-0.0621,-6.4823,-2.0828,-1.4488,-0.256,-2.1176,-7.4359,-5.317,-1.7973,-5.0899,-9.8118,-5.3456,-4.7002,-3.7283,-0.7187,-3.3381,-4.5357,-5.2763,1.3431,-7.0495,-9.2232,-4.2029,1.0013,-1.3878,0.9056,-3.1058,3.7432,2.8387,-4.4495,-0.2052,2.4895,-3.1972,2.7608,-4.6725,3.3538,-2.2283,-1.6558,-5.5398,0.2675,-7.0787,-11.3058,-4.1175,1.9283,-1.496,-4.234,-0.8163,-7.4638,-4.9901,-2.2181,-8.2939,0.7263,-4.4234,-0.0668,-2.7983,-0.018,1.4016,-3.2306,-2.7984,-8.305,9.7276,-3.9819,-5.5141,0.4731,-2.091,-1.9323,-6.8376,-0.553,-8.3996,-2.1445,-4.2502,-9.2384,2008,2
980,-3.0861,-4.2595,-6.4479,0.55,-1.0782,1.29,-1.6522,-0.1335,-1.5582,-1.8075,-2.8497,-5.0006,-4.5257,1.7574,3.5814,2.774,3.8604,-0.2899,1.6527,1.8996,-2.1954,0.4279,1.0759,0.2561,1.863,1.1315,3.3555,2.6717,0.6261,5.6648,-2.2631,4.093,-0.5579,3.0214,1.608,3.1844,-1.0846,3.1542,-1.6678,0.2543,-4.4266,-4.2139,0.2798,4.0788,-2.3253,-0.9189,0.5698,-0.6485,-0.9314,-4.5745,-4.1314,-1.7822,-1.4761,2.5141,-1.2809,-3.2195,-3.1671,-0.5116,-2.0508,4.2602,-5.1098,-3.1721,-3.6033,-1.5176,-3.1581,-4.639,-5.4285,-1.0725,-0.6041,-2.5521,-0.1382,2.3304,-0.8729,-3.1725,-1.8723,-2.2028,-3.3809,0.6602,-0.6816,-0.1232,-1.8453,-1.6781,3.193,-1.8366,-2.7258,-2.1504,-2.2991,-5.0467,-3.1445,-5.3477,2.5122,-1.4987,4.0737,0.8104,-3.6193,-4.6806,-2.8262,-4.4359,-1.2142,6.5843,2008,3
981,0.5562,2.5745,4.0452,2.544,-0.322,0.8913,0.6465,0.3508,0.6446,0.4689,4.833,6.1606,3.1255,4.5784,1.5097,2.5996,0.2942,-1.443,0.9133,2.8875,0.5315,2.6555,1.6336,1.4731,2.3777,4.041,4.08,-0.8762,-0.4659,5.759,4.5008,0.9468,9.1374,2.0202,3.5448,2.8643,4.075,3.2071,-0.8827,1.8481,6.5511,4.7538,10.7844,3.925,5.5063,7.698,8.0325,0.341,6.8269,5.5179,6.6512,10.1389,7.8111,6.9981,10.6931,8.711,10.9844,14.3719,5.0878,11.8456,2.1205,6.7288,4.3938,9.5121,3.1202,7.7297,9.7612,8.3363,0.7754,5.9344,5.9335,7.7299,5.9979,5.8333,12.5645,-1.6505,8.482,3.5732,0.3263,5.9923,3.2164,8.7359,9.2534,2.7325,6.6187,11.1891,8.1603,1.216,7.9545,0.6108,4.6103,4.0468,-1.1639,3.5531,7.163,6.8838,2.5138,3.7989,8.1217,3.233,2008,4
982,3.721,5.6182,4.4355,4.2806,3.0091,1.732,4.907,2.359,0.8811,3.0767,5.1909,7.9075,6.7654,3.6903,0.4151,4.7118,2.8047,1.664,2.1046,1.3524,5.1589,4.5494,6.6705,4.0681,7.0561,6.232,7.5153,2.5054,5.9503,-0.1015,9.0141,7.3863,3.7765,1.1507,9.9017,8.0214,6.3396,3.4715,4.0625,2.1794,4.4865,4.9742,4.5508,5.7206,7.3346,5.262,6.3576,4.7525,4.8879,2.9457,3.0717,3.2471,3.8653,2.2055,7.9586,5.7063,6.799,1.8119,3.6841,4.1877,5.5185,5.9695,7.5465,5.5154,3.389,6.1536,4.4571,5.7603,4.1255,3.0702,5.4258,3.2827,4.8355,3.5118,4.9269,5.4877,2.7635,5.5638,3.0938,3.5406,2.0124,3.8104,4.3937,1.2027,3.7956,6.992,4.362,6.2681,5.7168,0.3518,2.9566,2.7835,-1.3697,1.3,-2.4522,3.0835,-7.9223,-0.8317,0.6587,3.5447,2008,5
983,-5.5411,-7.0258,-4.9558,-7.196,-10.4772,-10.6695,-4.666,-6.996,-10.6543,-6.4956,-5.6689,-7.1244,-8.5333,-11.7635,-10.7332,-12.0039,-8.4273,-9.968,-11.2465,-14.1859,-6.6894,-7.7949,-8.273,-8.5903,-6.36,-9.8476,-11.1466,-11.4805,-9.2174,-9.6492,-6.4992,-8.3996,-6.5037,-6.3417,-3.769,-4.4669,-4.3791,-5.4085,-8.2586,-18.4913,-6.3753,-11.5611,-7.1334,-6.3894,-2.1657,-6.9122,-13.2064,-6.634,-4.154,-11.4713,-6.9479,-5.9059,-8.4167,-7.7256,-7.9121,-8.0702,-4.5643,-15.1708,-9.1205,2.4172,-7.0551,-4.9099,-12.1229,-4.0125,-0.6577,-8.697,-4.5311,-4.0261,-13.4643,-21.1141,-7.6801,-4.5669,-9.342,-15.9045,-11.0737,-9.771,-10.0383,-7.2839,-12.4076,-16.5931,-11.2484,-4.3867,-5.9704,-6.6873,0.2597,-4.7528,-5.788,-13.196,8.8214,-11.8653,-7.7702,-4.1526,-10.0334,-9.0358,-10.4881,-9.5654,-20.8194,-11.8499,-9.5783,-13.3591,2008,6
984,2.05,2.0716,5.0294,1.9892,2.1823,4.2397,5.809,5.2096,0.1664,2.1956,9.1202,3.8994,1.5477,7.4698,6.4993,5.5109,7.5386,10.9448,10.5355,0.5158,2.1158,3.138,4.5916,2.3111,4.447,7.1421,2.7977,3.8917,6.7383,5.1187,0.4965,3.8891,3.5096,0.5076,0.0899,8.5,4.7441,3.2099,6.6077,8.1715,0.1795,0.7751,-0.3836,-0.538,-0.1364,1.475,-4.0245,3.7927,5.0348,8.8098,1.0865,-0.096,-1.7081,-0.118,2.0168,3.6335,1.2347,0.7534,5.4146,1.468,-0.0902,-2.081,3.925,-2.814,-1.9029,-4.9556,-5.2844,-2.9516,-3.2051,-0.1733,1.524,-3.5246,-3.0956,0.4784,-10.8689,-8.3845,-5.5016,3.443,-3.8152,-3.5533,-2.6682,-4.2426,2.3978,-2.2104,-1.7736,-9.0248,-0.0841,-0.8009,-1.6624,-2.4891,-2.0259,-0.744,-0.0769,-4.7514,1.3258,-4.8228,-6.2423,15.6695,10.8072,-99.99,2008,7
985,-0.8837,-5.084,4.567,3.7095,0.6272,3.9568,3.4501,4.2176,3.6975,5.142,3.2359,2.7073,4.5269,2.4518,1.1181,3.7776,2.9339,3.663,8.9317,10.7161,2.696,6.1729,4.222,2.7692,5.1751,3.8962,4.8896,6.0014,6.3936,7.8144,3.1077,7.1809,5.2894,4.4345,6.7174,2.2875,4.5765,7.3647,8.6741,28.4329,-0.8018,4.0983,3.3284,2.4759,5.6603,4.4855,4.0678,3.4469,7.2932,4.7833,3.5276,2.986,2.4153,6.066,4.6505,4.1121,0.0854,0.9623,3.6989,9.0582,-1.5795,1.5219,2.9944,-2.0389,4.3178,1.8417,4.5154,2.8345,2.6158,2.2918,0.2879,2.4368,3.5099,1.2784,4.1409,2.2735,-1.0496,9.1434,4.9671,-3.959,1.1134,1.6321,-1.853,-0.0072,-0.2943,0.5316,-10.3008,-0.1546,7.1894,3.9364,1.4774,0.7583,2.8375,0.2643,2.4077,2.0062,-2.0049,-0.6086,-1.4684,-99.99,2008,8
986,-13.2186,-14.2754,-12.5674,-10.6044,-11.0378,-9.1047,-5.6216,-8.6897,-8.4877,-6.5469,-13.9579,-12.4314,-7.4442,-9.8794,-9.1748,-6.517,-2.2571,-0.7382,-5.2469,-3.0756,-9.9544,-9.7084,-6.5345,-8.0519,-6.5053,-7.7925,-3.3019,-4.6397,-5.6067,-12.9785,-6.1484,-10.1423,-8.5289,-10.3935,-9.0177,-5.4549,-4.4026,-3.5267,-1.1343,-14.9544,-14.7733,-16.0016,-10.1828,-12.2947,-7.3276,-5.107,-3.0105,-8.5685,-10.7024,-13.957,-10.0896,-17.6562,-11.7139,-10.4832,-8.5857,-7.5258,-8.8283,-6.9789,0.0104,2.4045,-13.9663,-10.5706,-10.1167,-15.5082,-13.6039,-11.669,-10.2222,-13.0965,-3.0822,-22.2745,-13.525,-15.6822,-12.1989,-14.2351,-12.5653,-14.5499,-14.471,-5.9943,-3.3233,-23.7708,-12.5807,-14.3435,-15.1213,-11.9974,-13.2552,-10.8256,-5.9935,-3.1499,-5.7078,5.3898,-10.8143,-7.0947,-7.4148,-8.7383,-6.3343,-6.0657,-23.5901,4.6843,-4.6512,-99.99,2008,9
987,-23.4304,-24.2299,-22.1934,-22.9265,-22.1472,-17.8246,-18.6718,-16.1098,-16.4973,-27.1171,-24.9811,-22.4258,-15.2046,-19.3266,-20.5859,-19.7725,-16.6064,-13.4478,-18.8208,-32.1162,-24.8832,-24.0565,-20.0256,-23.1375,-21.8452,-16.8005,-21.8059,-20.0212,-18.8034,-27.212,-21.8364,-21.9237,-24.2909,-24.7304,-18.1642,-18.5961,-16.1558,-21.1597,-15.6614,-34.6045,-24.0599,-20.2499,-18.2028,-22.6395,-17.7621,-18.1405,-15.0885,-19.6487,-18.5571,-26.4534,-21.2573,-27.2909,-19.3626,-18.2641,-14.2826,-17.9256,-22.9319,-18.8081,-20.1951,-24.334,-21.1479,-22.538,-21.5158,-24.3404,-27.69,-18.4474,-25.3931,-22.4382,-17.1863,-16.1598,-18.9946,-20.5895,-17.5917,-24.4999,-24.3497,-28.1573,-28.2853,-12.217,-24.475,-4.1783,-20.1628,-24.6408,-18.2154,-18.8388,-25.1883,-22.1893,-24.5915,-19.0593,-27.9344,-26.7306,-12.6005,-14.3582,-13.9414,-14.6559,-10.5134,-16.2962,-26.4566,-31.2315,-10.6013,-99.99,2008,10
